,id_collar,id_itm,id_user,lat,lng,time_stamp,month
1688,AV337,1FAE5DE,3508,36.82371252,-4.867963684,2022-02-17 18:28:16,2
1689,AV338,1FAE67D,3508,36.823636225,-4.867963684,2022-02-17 18:31:43,2
1690,AV338,1FAE67D,3508,36.823773556,-4.867765316,2022-02-17 19:31:27,2
1691,AO771,BF8B66,3508,36.824139773,-4.868513008,2022-02-17 19:31:31,2
1692,AV337,1FAE5DE,3508,36.823651484,-4.867963684,2022-02-17 19:57:39,2
1693,AV338,1FAE67D,3508,36.823620966,-4.867978943,2022-02-17 20:01:21,2
1694,AV337,1FAE5DE,3508,36.823682002,-4.868039979,2022-02-17 20:28:30,2
1695,AV338,1FAE67D,3508,36.823666743,-4.868009461,2022-02-17 20:31:28,2
1696,AV337,1FAE5DE,3508,36.823590448,-4.868039979,2022-02-17 20:57:58,2
1697,AV338,1FAE67D,3508,36.82371252,-4.867948425,2022-02-17 21:01:03,2
1698,AV338,1FAE67D,3508,36.823682002,-4.868070497,2022-02-17 21:30:41,2
1699,AV338,1FAE67D,3508,36.823743038,-4.868070497,2022-02-17 22:01:22,2
1700,AV338,1FAE67D,3508,36.823605707,-4.868039979,2022-02-17 22:30:58,2
1701,AV338,1FAE67D,3508,36.823697261,-4.867948425,2022-02-17 23:01:03,2
1702,AV338,1FAE67D,3508,36.82371252,-4.867826352,2022-02-17 23:30:52,2
1703,AV337,1FAE5DE,3508,36.823697261,-4.868284123,2022-02-17 23:58:59,2
1704,AV337,1FAE5DE,3508,36.823697261,-4.867948425,2022-02-18 00:28:21,2
1705,AO771,BF8B66,3508,36.824368658,-4.868696117,2022-02-18 00:33:03,2
1706,AV338,1FAE67D,3508,36.82355993,-4.867978943,2022-02-18 01:00:07,2
1707,AV337,1FAE5DE,3508,36.82371252,-4.86802472,2022-02-18 01:29:11,2
1708,AV338,1FAE67D,3508,36.823834592,-4.867917906,2022-02-18 01:29:28,2
1709,AV338,1FAE67D,3508,36.823773556,-4.867872129,2022-02-18 02:29:56,2
1710,AV338,1FAE67D,3508,36.823727779,-4.867933165,2022-02-18 03:03:00,2
1711,AV338,1FAE67D,3508,36.823895628,-4.868101015,2022-02-18 03:28:52,2
1712,AV338,1FAE67D,3508,36.823926146,-4.868207828,2022-02-18 04:28:33,2
1713,AV338,1FAE67D,3508,36.823666743,-4.867887388,2022-02-18 04:58:21,2
1714,AV338,1FAE67D,3508,36.823926146,-4.86802472,2022-02-18 05:28:01,2
1715,AV338,1FAE67D,3508,36.823880369,-4.868009461,2022-02-18 05:58:00,2
1716,AV338,1FAE67D,3508,36.823895628,-4.868039979,2022-02-18 06:28:09,2
1717,AV338,1FAE67D,3508,36.82418555,-4.867933165,2022-02-18 06:58:24,2
1718,AV337,1FAE5DE,3508,36.823819333,-4.868039979,2022-02-18 07:59:28,2
1719,AV338,1FAE67D,3508,36.823529412,-4.867505913,2022-02-18 08:27:45,2
1720,AV337,1FAE5DE,3508,36.823651484,-4.868055238,2022-02-18 08:30:15,2
1721,AV338,1FAE67D,3508,36.823575189,-4.867734798,2022-02-18 08:57:30,2
1722,AO771,BF8B66,3508,36.824200809,-4.86865034,2022-02-18 09:05:34,2
1723,AV338,1FAE67D,3508,36.823727779,-4.86802472,2022-02-18 10:27:19,2
1724,AV338,1FAE67D,3508,36.82371252,-4.867826352,2022-02-18 10:56:19,2
1725,AV338,1FAE67D,3508,36.823605707,-4.86802472,2022-02-18 11:56:11,2
1726,AV338,1FAE67D,3508,36.823697261,-4.86785687,2022-02-18 12:55:50,2
1727,AO771,BF8B66,3508,36.824414435,-4.868513008,2022-02-18 13:06:39,2
1728,AV338,1FAE67D,3508,36.823620966,-4.867734798,2022-02-18 13:26:08,2
1729,AV337,1FAE5DE,3508,36.823804074,-4.867978943,2022-02-18 13:30:59,2
1730,AV338,1FAE67D,3508,36.82355993,-4.867902647,2022-02-18 13:55:30,2
1731,AV337,1FAE5DE,3508,36.823666743,-4.867902647,2022-02-18 14:00:22,2
1732,AV338,1FAE67D,3508,36.823453117,-4.867444877,2022-02-18 14:26:03,2
1733,AV337,1FAE5DE,3508,36.823544671,-4.867948425,2022-02-18 14:30:15,2
1734,AO771,BF8B66,3508,36.824414435,-4.86802472,2022-02-18 14:37:01,2
1735,AV338,1FAE67D,3508,36.82371252,-4.867994202,2022-02-18 14:55:48,2
1736,AV337,1FAE5DE,3508,36.823224231,-4.868497749,2022-02-18 15:00:44,2
1737,AV338,1FAE67D,3508,36.823697261,-4.868116274,2022-02-18 15:25:38,2
1738,AV337,1FAE5DE,3508,36.823773556,-4.868131533,2022-02-18 15:31:21,2
1739,AO771,BF8B66,3508,36.823956664,-4.868604562,2022-02-18 15:37:02,2
1740,AV338,1FAE67D,3508,36.823758297,-4.868055238,2022-02-18 15:55:15,2
1741,AV337,1FAE5DE,3508,36.823620966,-4.867933165,2022-02-18 16:01:26,2
1742,AO771,BF8B66,3508,36.824246586,-4.868467231,2022-02-18 16:37:22,2
1743,AV338,1FAE67D,3508,36.82386511,-4.868375677,2022-02-18 16:54:24,2
1744,AO771,BF8B66,3508,36.824124514,-4.868345159,2022-02-18 17:08:17,2
1745,AV338,1FAE67D,3508,36.823575189,-4.867872129,2022-02-18 17:25:01,2
1746,AV337,1FAE5DE,3508,36.824826429,-4.869138628,2022-02-18 17:31:36,2
1747,AV338,1FAE67D,3508,36.823468376,-4.867933165,2022-02-18 17:54:06,2
1748,AV338,1FAE67D,3508,36.823788815,-4.867887388,2022-02-18 18:23:55,2
1749,AV338,1FAE67D,3508,36.823575189,-4.867902647,2022-02-18 18:53:44,2
1750,AV337,1FAE5DE,3508,36.823941405,-4.868253605,2022-02-18 19:01:29,2
1751,AO771,BF8B66,3508,36.824383917,-4.868299382,2022-02-18 19:37:57,2
1752,AV338,1FAE67D,3508,36.82371252,-4.867963684,2022-02-18 19:53:23,2
1753,AV338,1FAE67D,3508,36.823666743,-4.868039979,2022-02-18 20:23:58,2
1754,AV337,1FAE5DE,3508,36.823575189,-4.867750057,2022-02-18 20:31:39,2
1755,AO771,BF8B66,3508,36.824368658,-4.868726635,2022-02-18 20:38:19,2
1756,AV338,1FAE67D,3508,36.82355993,-4.867978943,2022-02-18 21:22:50,2
1757,AO771,BF8B66,3508,36.824444953,-4.868467231,2022-02-18 21:38:41,2
1758,AV338,1FAE67D,3508,36.823590448,-4.867948425,2022-02-18 21:52:40,2
1759,AV338,1FAE67D,3508,36.823590448,-4.867948425,2022-02-18 22:22:52,2
1760,AO771,BF8B66,3508,36.824032959,-4.868528267,2022-02-18 23:09:12,2
1761,AV338,1FAE67D,3508,36.823727779,-4.86785687,2022-02-18 23:22:09,2
1762,AV337,1FAE5DE,3508,36.823727779,-4.867826352,2022-02-18 23:32:27,2
1763,AO771,BF8B66,3508,36.824155032,-4.868513008,2022-02-18 23:39:19,2
1764,AV338,1FAE67D,3508,36.823971923,-4.867719539,2022-02-18 23:52:50,2
1765,AO771,BF8B66,3508,36.8240177,-4.868665599,2022-02-19 00:09:39,2
1766,AV338,1FAE67D,3508,36.824048219,-4.867734798,2022-02-19 00:22:03,2
1767,AO771,BF8B66,3508,36.824109255,-4.868909743,2022-02-19 00:39:36,2
1768,AV338,1FAE67D,3508,36.823727779,-4.868055238,2022-02-19 01:22:20,2
1769,AV338,1FAE67D,3508,36.82371252,-4.867841611,2022-02-19 01:52:07,2
1770,AV338,1FAE67D,3508,36.823651484,-4.868039979,2022-02-19 02:21:59,2
1771,AV338,1FAE67D,3508,36.823437858,-4.867475395,2022-02-19 02:51:11,2
1772,AO771,BF8B66,3508,36.82418555,-4.868665599,2022-02-19 03:10:21,2
1773,AV338,1FAE67D,3508,36.82371252,-4.868101015,2022-02-19 03:21:07,2
1774,AV338,1FAE67D,3508,36.823743038,-4.868101015,2022-02-19 03:51:27,2
1775,AV337,1FAE5DE,3508,36.823697261,-4.868009461,2022-02-19 04:02:56,2
1776,AO771,BF8B66,3508,36.82449073,-4.868238346,2022-02-19 04:10:43,2
1777,AV338,1FAE67D,3508,36.82371252,-4.868101015,2022-02-19 04:20:32,2
1778,AV338,1FAE67D,3508,36.823743038,-4.86802472,2022-02-19 04:50:30,2
1779,AV338,1FAE67D,3508,36.823682002,-4.868085756,2022-02-19 05:20:08,2
1780,AV337,1FAE5DE,3508,36.823758297,-4.868146792,2022-02-19 05:32:24,2
1781,AV338,1FAE67D,3508,36.823804074,-4.86802472,2022-02-19 05:50:14,2
1782,AV338,1FAE67D,3508,36.823743038,-4.867963684,2022-02-19 06:19:41,2
