-- ID: 
2300550,,,,,,,,,,22,4,13,19,5,35,36.944408,-3.333446,,
2365963,,,,,,,,,,22,4,13,19,11,39,36.944419,-3.333721,,
2421855,,,,,,,,,,22,4,13,19,17,33,36.944358,-3.333840,,
2487180,,,,,,,,,,22,4,13,19,23,37,36.944293,-3.333691,,
2553056,,,,,,,,,,22,4,13,19,29,41,36.944404,-3.333696,,
2618420,,,,,,,,,,22,4,13,19,35,45,36.944362,-3.333612,,
2684325,,,,,,,,,,22,4,13,19,41,49,36.944385,-3.333703,,
2749736,,,,,,,,,,22,4,13,19,47,53,36.944377,-3.333715,,
2815678,,,,,,,,,,22,4,13,19,53,57,36.944408,-3.333839,,
2890915,,,,,,,,,,100,100,100,100,100,100,-1.000000,-1.000000,,
2956779,,,,,,,,,,22,4,13,20,6,15,36.944389,-3.333765,,
3020097,,,,,,,,,,22,4,13,20,12,17,36.944358,-3.333539,,
3085873,,,,,,,,,,22,4,13,20,18,21,36.944408,-3.333930,,
3151124,,,,,,,,,,22,4,13,20,24,25,36.944469,-3.333898,,
3216830,,,,,,,,,,22,4,13,20,30,29,36.944351,-3.333722,,
3282991,,,,,,,,,,22,4,13,20,36,34,36.944396,-3.333658,,
3348551,,,,,,,,,,22,4,13,20,42,38,36.944477,-3.333681,,
3397723,,,,,,,,,,22,4,13,20,48,26,36.944553,-3.333673,,
3462396,,,,,,,,,,22,4,13,20,54,29,36.944458,-3.333758,,
3476800,,,,,,,,,,22,4,13,20,59,42,36.944515,-3.333691,,
3542305,,,,,,,,,,22,4,13,21,5,46,36.944385,-3.333804,,
3608222,,,,,,,,,,22,4,13,21,11,51,36.944313,-3.333714,,
3660675,,,,,,,,,,22,4,13,21,17,42,36.944473,-3.333812,,
3726381,,,,,,,,,,22,4,13,21,23,46,36.944293,-3.333817,,
3760613,,,,,,,,,,22,4,13,21,29,19,36.944419,-3.333648,,
3776248,,,,,,,,,,22,4,13,21,34,33,36.944416,-3.333615,,
3786265,,,,,,,,,,22,4,13,21,39,41,36.944400,-3.333649,,
